tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
e nhờ bs giúp e	em có sử_dụng ma_túy đá đạng hút lần e bị ngộ động cơ_thể e bị suy_nhược yếu đi và thở không nỗi e phải cấp_cứu ở bệnh_viện củ_chi và e cũng đã được điều_trị và được xuất_viện về nhà nay đã được năm tháng kễ từ khi ra viện e đã bỏ thẳng lun không dao du bạn_bè nửa cho đến nay thì cơ_thể e cũng chưa được khỏe và đi làm chưa được nữa e nhờ bs giúp e để e làm lại cuộc_đời của e e có lúc khỏe lúc mệt tim đập có lúc bình_thường có lúc nge lịch phịch cứ lên xuống ở trong người và nó hồi hợp và e hít thở ra vào không được sâu và e làm như bị hiếu thơi thiếu oxy cho lắm làm e khó chiệu lúc hít lên thì có hơi lên tới mũi thở ra nge mạnh_mẽ còn lúc hít lên mà như ko có hơi để thở vậy rất là khó chiệu vs lại mắc cứ lừ_đừ tay chân thì có lúc tê lúc bũng rũn vậy bụng thì lúc bình_thường có lúc nó đau mé bên trái còn lỗ tay phải cứ nge tiếng kêu e e e e đang bân khăn tại_sao e bị mắc hơi không có hơi_thở mạnh_mẽ lại bình_thường lại e nhờ bs giúp e chân thằng cảm_tạ 
bê nh kho thơ	xin cha o ba c si_da o gâ n đây e thi thoa ng kho thơ ơ thi hi t va o_e k lâ y hơi hi t va o đươ c giô ng như cô ho ng e vươ ng gi la m e k lâ y hơi đươ c e k đau ngư c hay j ca e thi thoa ng vơ i bi như vâ y mong ba c si tư vâ n a 
đau ngực	cho cháu hỏi bs là hiện h cháu dg bị đau_nhói giữa lồng_ngực hầu như ngày nào cung bị triệu_chứng này bất đầu dc tháng rui ạ vậy cho cháu hỏi là vậy là bị lam sao ạ 
mong bác_sĩ giúp em tìm ra bệnh	em chào bác_sĩ tình_trạng của em cũng y_chang như bạn này ko khác gì ạ mong bác_sĩ giúp em em chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là thường_xuyên lấy sức ho cái thật mạnh để bật được cái dịch gì đó trong lồng_ngực ra ấy ạ ko biết e mô_tả vậy đúng ko nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ nhưng không phải lúc nào cũng ngáp được ạ em đã đi khám viện lớn là và phổi trung_ương viện thì chụp xquang tim phổi điện tim siêu_âm tim thử máu thông khí phổi siêu_âm ổ bụng kết_quả là mấy cái đó đều không sao bs đành kết_luận rối_loạn thần_kinh thực_vật và kê thuốc rối_loạn thần_kinh cùng loại thuốc có tên astmodil trị hen thì phải ạ nhưng e uống vài hôm ko đỡ mà nặng thêm í ạ vì vậy e đi khám viện phổi tw viện này cho chụp ct cắt lớp lồng_ngực và phổi đo hô_hấp test giãn phế_quản kết_quả cũng không có gì đặc_biệt ngoài câu theo_dõi viêm phế_quản và không cho thuốc gì em có năn_nỉ ỉ ôi thì bs kê cho e lọ thuốc xịt ventolin rồi dặn xịt xong thấy đỡ thì quay_lại điều_trị theo hướng hen phế_quản tuy nhiên e xịt vào cả tiếng đồng_hồ vẫn không làm giảm triệu_chứng e kể trên thuốc có tác_dụng sau phút và kéo_dài tiếng ạ thưa bác_sĩ e đã mô_tả rất kỹ triệu_chứng và quy_trình khám bệnh ở viện lớn rồi e thấy viện lớn khám không tận_tụy chút nào cả e mô_tả bệnh thì bác_sĩ cứ như nghĩ e nói đùa ấy ạ e rất mong được sự tư_vấn tận_tình của bác_sĩ ạ e cảm_ơn đã trả_lời tư_vấn sức_khoẻ từ các chuyên_gia đặt câu_hỏi câu_hỏi liên_quan đau họng năng ngực khó ngủ em bị đau họng hơn tháng và không ho sốt gần_đây em có cảm_giác nặng ngực vào buổi tối rất khó ngủ và có khi đau nhẹ ở ngực phải em đã mua thuốc viêm_họng và uống gần tuần r ạ nhưng vẫn chưa khỏi vậy là em bị gì ạ đặt câu_hỏi e chào các bác sỹ tháng nay e bị ho ra máu nhập_viện ở bệnh_viện phạm ngọc thạch hcm bs cho điều_trị nội_khoa sau tuần mới dứt ho ra máu trong thời_gian điều_trị phía bv cho xét_nghiệm máu đờm ct scan tiêm thuốc cản_quang nội_soi phế_quản kết_quả ct scan tiêm thuốc cản_quang thì xem phim bv chẩn_đoán bị tổn_thương thâm_nhiễm đông_đặc và đông_đặc tạo hang còn đờm và nội_soi lấy dịch ra xét_nghiệm thì cho kết_quả âm_tính qua quá_trình thăm do thì bv cho e uống thuốc lao e uống được ngày và bs cho về nhà về nhà e uống tiếp thuốc lao đến ngày thứ thì bồn_chồn sợ khó_chịu trong người và khó ngủ vậy cho e hỏi bs e bị vậy do đâu ạ ợ hơi thưa bác_sĩ nếu bị ợ hơi khó thở kéo_dài liên_tục cả khi không ăn thì đó là dấu_hiệu của bệnh gì ạ và cách chữa_trị như thế nào ạ cháu cảm_ơn bs nghẹn ngực cháu bị ở hơi nhiều ngay cả khi không ăn buồn_nôn nhất là khi ngủ dậy cháu luôn cảm_thấy nghẹn ở ngực có gì đó chặn lại khiến cháu thấy khó thở và cảm_giác như không đủ oxi cháu rát lo_lắng về điều đó bác_sĩ cho cháu hỏi đây là dấu_hiệu của bệnh gì ạ cháu cảm_ơn a ợ hơi cảm_thấy hít thở không đủ dạo gần_đây cháu bị ợ hơi nhiều kể_cả khi không ăn đầy bụng cảm_giác buồn_nôn nhất là sau khi ngủ dậy nghẹn ở ngực và cảm_giác có gì đó vướng ở cổ_họng cháu cảm_thấy khó thở nhẹ kiểu như hít thở không đủ ấy ạ như có cái gì đó ở cổ_họng khiến cho việc hít thở không được thoải_mái tuy nhiên cháu luôn nghĩ về tình trang khó thở đó và cảm_thấy bồn_chồn lo_lắng bất an lúc nào cũng trong trạng_thái căng_thẳng và không_tập chung để làm_việc gì cháu tưởng_tượng ra nhiều trường_hợp khác nhau và sợ_hãi nhất là vì tình_trạng dịch_bệnh hiện_nay nên cháu càng sợ hơn cháu không nghỉ trưa được vì lúc đi ngủ cháu vẫn nghĩ về sự khó thở đó cứ nằm xuống là tim lại đập nhanh cảm_giác hồi_hộp cổ như bị nghẹn lại ấy ạ buổi tối cháu buồn_ngủ sớm hơn trước và sáng tỉnh dậy với sự uể_oải bồn_chồn không thoải_mái 
tim_mạch	em hay bị đau ngực phải chỉ bị bên phải không bị bên trái khi bị hay nhói trong ngực nhưng không khó thở là sao vậy ạ mong bác_sĩ trả_lời giúp em 
bị khó thở và tức ngực	bác_sĩ cho e hỏi e bị ợ hơi nhiều nằm thấp thấy khó thở hay bị tức ngực và thỉnh_thoảng ngủ dậy hay bị sốt bác_sĩ có thể cho e biết đấy là triệu_chứng bệnh gì ko ạ 
đau ngực	các bác_sĩ cho e hỏi e bị đau ở ngực trái có lúc đau cả bên ngực phải bên ngực phải kiểu đau_nhói xong lại thôi còn ngực trái lúc đầu nó đau thì nó thôi còn bây_giờ hầu như nó đau ca ngày đau lâm_dâm e đã đi khám bệnh_viện e chụp x quang điện tim siêu_âm tim bác_sĩ nói không bị sao cả mà e vẫn bị đau e bị tháng rồi ạ e đang rất lo_lắng e bị trầm_cảm mất đi khám thì ko ra bệnh bác_sĩ tư_vấn e với ạ 
bs	bs cho e hỏi e bị đau ngực bên phải mà tuần này e chưa khỏi e k khó thở k họ nhưng lúc e nằm e ngồi_dậy ngực e đau là do e bị làm sao ạ 
đau thắt ngực trái	chào bác_sĩ dạo gần_đây trời nắng lên em hay bị đau_nhói bên ngực trái gần tim khi đang đau rất khó hít thở vào sẽ càng đau vậy em bị bệnh gì ạ 
đau nhức tay sau khi lấy máu	hôm trước cháu có đi xét_nghiệm máu ở medlatec sau khi lấy máu xong thì tay cháu bị đau nhức ở chỗ lấy máu xong không duỗi tay hay co lại được giờ duỗi tay căng ra thì bị nhức khửu tay phần lấy máu bây h cầm vật nặng là cũng bị nhức bị từ hôm đi lấy máu xét_nghiệm ngày bác_sĩ cho cháu hỏi cháu bị gì và giờ phải làm sao ạ 
đau nhức tay sau khi lấy máu	hôm trước cháu có đi xét_nghiệm máu ở medlatec sau khi lấy máu xong thì tay cháu bị đau nhức ở chỗ lấy máu xong không duỗi tay hay co lại được giờ duỗi tay căng ra thì bị nhức khửu tay phần lấy máu bây h cầm vật nặng là cũng bị nhức bị từ hôm đi lấy máu xét_nghiệm ngày bác_sĩ cho cháu hỏi cháu bị gì và giờ phải làm sao ạ 
kho thơ tư c ngư c dươ i	hôm_nay tôi hi t va o thơ ra bi đau tư c ngư c dươ i ca m gia c như ko thơ đươ c ma tôi co n be o_do mơ i sinh la bê nh gi a 
đau cách hồi mặt trong chân trái	cho em hỏi em bị đau cách hồi ở gần bắp chân bên trái từ tháng đau_nhói từng cơn đôi lúc hơi ngứa lần e chườm nóng thì da rất ngứa hiện da chân rát khi chạm vào và chân trái yếu đi khi em đói thì bị đau sau khi bổ_sung dinh_dưỡng thì hết đau vậy có phải là triệu_chứng của suy tĩnh_mạch sâu k ạ bổ_sung thêm là chân em bị đau_nhói từng cơn nhất là khi em mất_ngủ stress mệt hoặc ngủ kém nữa trong vòng năm thì e cũng ăn uống không được đầy_đủ và thất_thường gần_đây e ngủ sớm và ăn đủ thì k còn đau nhiều nữa ạ nhưng chân vẫn yếu vẫn thi thoảng đau và ngứa dưới da em đi khám nhiều nơi bệnh_viện hồng_ngọc vào tháng và siêu_âm bác_sĩ nói bị suy tĩnh_mạch sâu nhưng k cho thuốc chỉ cần gác chân cao và tập thể_dục nhưng k hết khám ở thu_cúc việt đức bác_sĩ thì bảo không phải bị suy tĩnh_mạch sâu cho thuốc thần_kinh và cả suy tĩnh_mạch về uống mà cũng k hết em đã khám chiếu chụp xương nhưng xương khớp không sao bây_giờ hoang_mang không biết khám ở đâu cho khỏi hẳn và bệnh là gì ạ 
đau ngực bên trái	cháu chào bác_sĩ cháu bị đau ngực trái mỗi khi vận_động mạnh_tay trái là lại bị đau ngực những lúc cháu tắm nước nóng thì cơn đau biến mất nhưng sau một thời_gian ngắn lại quay trở_lại bác_sĩ cho cháu hỏi cháu bị bệnh gì ạ 
bị đau ngực phải và gần giữa ngực	tôi năm nay t hiện_tại trong khoảng vài tuần nay tôi có biểu_hiện đau ngực phải và giữa lúc bị lúc không tôi có hút thuốc sáng hay uống cf khoảng h đi ngủ lúc nằm thì cảm_thấy ngực kiểu bị ép nhẹ nằm phải há miệng ra mới thấy dễ thở tôi ngày nào cũng tập thể_dục vận_động bữa nặng bữa nhẹ tôi đo huyết_áp lúc chiều là mẹ tôi có bị bệnh cao huyết_áp di_truyền trường_hợp của tôi là bị sao vậy bác_sĩ 
	được tầm tháng trở_lại đây khi ngủ trưa thường xuất_hiện những giấc_mơ hay bị gián_đoạn đang ngủ giật_mình tỉnh dậy khó thở và tim đập nhanh phải mất khoảng p mới có thể ổn_định hô_hấp vậy xin hỏi bác_sĩ tôi có khả_năng bị bệnh gì ạ xin cảm_ơn 
khó thở	ban_đầu em có bị nghẹn họng và ho có đàm nhưng đàm khó ra lúc đó em vẫn chưa khó thở sau khi mua thuô c uô ng liên tu c thì em hê t bị nghẹn đàm ở cổ và hê t ho nhưng hiê n nay em đang bị khó thở hít thở không sâu và thở mệt em cố hít sâu nhưng hít đươ c gần sâu lại bị cứng ở ngực không nốt hơi thở mệt thở gấp ngoa i ra trong khi đó em co n bị nhức mỏi vai cánh tay bên trái tê tay vậy triệu_chứng khó thở thở gấp thở không sâu của em là gì ạ hiện_nay có covid em cũng nghi nhiễm 
tư_vấn bs	bác_sĩ cho tôi hỏi mấy ngày_nay tôi thỉnh_thoảng có biểu_hiện đau_nhói phần ức ngực trái bs tư_vấn giúp tôi đó là dấu_hiệu bệnh gì tôi xin c on 
bị đau và nhói ngực giữa và dưới bên phải	khoảng ngày gần_đây tôi thỉnh_thoảng có bị đau_nhói ngực giữa và dưới bên phải tôi k có tiền_sử cao huyết_áp có hút thuốc nhịp tim dao_động tôi không khó thở hay nhức đầu chóng_mặt thỉnh_thoảng hia mắt và cảm_thấy đuối_sức điện tim thì dc kết_luận bình_thường xin hỏi là bệnh_lý gì tôi xin chân_thành cảm_ơn 
đau và tức ngực	cháu cảm_thấy đau và tức ngực ở vùng tim mỗi khi cháu lo_lắng cháu bị sao thê ạ 
khó ngủ	bác_sĩ cho cháu hỏi với ạ năm nay cháu t mỗi khi đi ngủ cháu cảm_giác người run_run kiểu sắp ngất và nghe thấy tiếng tim đập vậy là khả_năng cháu bị bệnh gì ạ 
khó thở ạ	em chào bác_sĩ ạ khoảng tháng trở_lại đây e đột_nhiên khó thở khi hít vào biểu_hiện là thường_xuyên muốn hít sâu vào nhưng khi hít sâu khoảng lần thì chỉ được vài lần đủ khí xuống tới bụng còn lại là chỉ hít được tới lồng_ngực thì hết_sạch khí không thể hít thêm được nữa lúc này sẽ bị tức đoạn ngực ở giữa xương_ức ạ ngoài ra còn kèm thèo biểu_hiện là thường_xuyên lấy sức ho cái thật mạnh để bật được cái dịch gì đó trong lồng_ngực ra ấy ạ ko biết e mô_tả vậy đúng ko nữa nếu muốn đủ khí thì sẽ phải ngáp liên_tục ạ mỗi lần ngáp e sẽ hít được đủ khí ạ nhưng không phải lúc nào cũng ngáp được ạ em đã đi khám thì chụp xquang tim phổi điện tim siêu_âm tim thử máu thông khí phổi siêu_âm ổ bụng kết_quả là mấy cái đó đều không sao bs đành kết_luận rối_loạn thần_kinh thực_vật và kê thuốc rối_loạn thần_kinh cùng loại thuốc có tên astmodil trị hen thì phải ạ nhưng e uống vài hôm ko đỡ mà nặng thêm í ạ vì vậy e đi khám viện phổi tw viện này cho chụp ct cắt lớp lồng_ngực và phổi đo hô_hấp test giãn phế_quản kết_quả cũng không có gì đặc_biệt ngoài câu theo_dõi viêm phế_quản và không cho thuốc gì em có năn_nỉ ỉ ôi thì bs kê cho e lọ thuốc xịt ventolin rồi dặn xịt xong thấy đỡ thì quay_lại điều_trị theo hướng hen phế_quản tuy nhiên e xịt vào cả tiếng đồng_hồ vẫn không làm giảm triệu_chứng e kể trên thuốc có tác_dụng sau phút và kéo_dài tiếng ạ thưa bác_sĩ e đã mô_tả rất kỹ triệu_chứng và quy_trình khám bệnh ở viện lớn rồi e thấy viện lớn khám không tận_tụy chút nào cả e mô_tả bệnh thì bác_sĩ cứ như nghĩ e nói đùa ấy ạ e rất mong được sự tư_vấn tận_tình của bác_sĩ ạ e cảm 
tim_mạch	chào bác sỹ nhờ bác sỹ tư_vấn giúp tuần trở_lại đây tôi có triệu_chứng như sau tuần đầu_tiên cảm_giác đau kiểu khó_chịu ở khoang mũi thời_gian khoảng phút vào buổi sáng h p tuần thứ_hai đau ê bên hàm cũng đau kiểu khó_chịu ko đau_buốt tiếp_theo hơi đau ngực giữa vã mồ_hôi chán và đầu thời_gian khoảng phút vào buổi sáng khoảng h p tuần thứ ba cũng đau hai bên hàm và ngực giữa đau mạnh hơn lần trước vã mồ_hôi chán và đầu vào khoảng h p không khó thở ko đau_nhói tần_suất đau cứ tuần lần lúc đó nhịp tim lúc sau lo_lắng hồi_hộp nhịp lên phút lúc đó ko đo huyết_áp chiều và tối đo lúc lúc rất mong bác sỹ tư_vấn trong tháng tôi đã xét_nghiệm lần ở maletec nhưng chỉ xét_nghiệm chỉ_số men gan trân_trọng cám_ơn bác sỹ 
đau_nhói bên phải ngực	bác_sĩ chi em hỏi trường_hợp như sau sáng nay em ăn đồ bẩn nên có móc để nôn ra do buồn_nôn sau khi nôn thì em cảm giâc đau đau phía trước ngực bên phải ko ho và không khó thở chỉ thấy ấn tay vào phần ngực phải dưới họng thấy đau và hơi tê cho em hỏi đau như vậy là nguyên_nhân do đâu ạ 
dịch_vụ tiêm tại nhà	tôi có người_nhà nữ bị huyết khối tĩnh_mạch sâu chân bên trái sau khi điều_trị tại bệnh_viện thì bác_sĩ có yêu_cầu tiếp_tục tiêm thuốc chống đông máu lovenox mg tại nhà_hàng ngày tôi muốn hỏi bệnh_viện có dịch_vụ tiêm thuốc tại nhà không ạ và giá dịch_vụ mỗi lần tiêm là bao nhiêu tiền ạ 
hóa sinh	tôi xét_nghiệm bị máu nhiễm mỡ xin hỏi dùng loại thuốc nào để giảm mỡ_máu tôi đã bị tai_biến lần 
w	vì_sao em cảm_nhận được mạch_đập ở động_mạch mà ở tĩnh_mạch lại không 
nhờ bác_sĩ tư_vấn	tôi bị blok nhánh phải hoàn_toàn kèm theo triệu trứn huyết_áp nhịp tim k ổn đinh 
tim em có vấn_đề hay không ạ	bác_sĩ ơi gần_đây mỗi lần em ngáp thì lồng_ngực của em cụ_thể là phần chếch về bên trái có triệu_chứng rung lên theo với cường_độ mạnh ạ thỉng thoảng tim em lại nhói lên đau_điếng trong giây bác_sĩ có thể tư_vấn cho em được không ạ em xin cám_ơn 
nhói ngực trái có lặp_lại	thời_gian gần_đây em thi thoảng cảm_thấy đau_nhói ở bên ngực trái theo những gì em tìn hiểu được thì đây có thể là dấu_hiệu của bệnh tim bác_sĩ cho em hỏi nếu đi khám chẩn_đoán bệnh thì em sẽ làm những gì ạ 
hỏi về bệnh tim	chào bs em năm nay tuổi là nam hai ngày_nay vào buổi chiều_tối em hay bị ê ê đau rất nhẹ ở bên ngực trái gần vị_trí tim ngoài ra ko có triệu_chứng nào khác vậy cho em hỏi em có phải bị bệnh tim không ạ 
hạch sưng	hiếucháu năm nay tuổi nổi hạch sau tai bên to bên nhỏ lâu rồi mà không khỏi chạm vào cũng không đâu có liên_quan đến bệnh nguy_hiểm không ạ 
hỏi chuyên_gia	thưa bác_sĩ cháu năm nay tuổi đã phẫu_thuật lõm ngực được năm hiện lõm ngực lên rất tốt cháu đã làm siêu_âm tim lần lần gần_đây nhất vào hôm_nay do giáo sư_phạm gia khải trực_tiếp thăm khám cho cháu chỉ_số dd và ds của cháu dãn nhẹ chức_năng tâm_thu ef hở van lá rất nhẹ van lá nhẹ vd ml giáo_sư khải khẳng_định cháu k có bệnh tim nhưng mà cháu cứ lo_lắng nửa năm nay mỗi khi nghĩ về bệnh là tim cháu đập nhanh trống_ngực và có khó thở nhẹ cháu rất lo_lắng xin cho cháu lời_khuyên ạ 
thiếu máu cơ_tim cục_bộ	em bị khó thở đau tức ngực trái đi khám bác_sĩ kết_luận em bị thiếu máu cơ_tim cho em hỏi bệnh này có nguy_hiểm ko ạ và có cách nào điều_trị khỏi hẳn dc ko ạ em lo quá ạ em lại rất yêu_thích đá bóng liệu có phải bỏ ko chơi thể_thao nữa ko qj và chế_độ ăn uống ngủ nghỉ sao cho hợp_lý mong bác_sĩ tư_vấn chúc bác_sĩ buổi tối vui_vẻ em cảm_ơn 
xin y kiến	sau khi thay văn đông mạch chủ đuoc năm giơ truyền đạm co ảnh_hưởng gi không 
đau ngực bên phải	bs cho e hỏi ngày hôm_nay e tự dưng bị đau ngực bên phải nhưng k bị khó thở mà trước đây e chưa bị bao giờ như vậy mong bs tư vẫn giúp e 
kết_quả xét_nghiệm	bác sỹ cho em hỏi nội_dung xét_nghiệm ck total tăng là bị làm sao ạ 
nhòi máu cơ_tim	sau gần tuần ở bệnh_viện tam_phú vì tụt huyết_áp sau khi xét_nghiệm mỗi ngày lấy ống máu bự sau khi khỏe rồi nên bệnh viên cho về về ngày bị nhòi máu cơ_tim nặng lại vào bệnh_viện tam_phú và sau khi cấp_cứu bà_ngoại vẫn sống thêm từ sáng đến h và chết trước đó bà_ngoại rất khỏe_mạnh có phải bệnh_viện lấy máu nhiều làm bà yếu không ạ và không tìm được nguyên_nhân bệnh sớm hơn 
xét_nghiệm máu có chỉ sơ aslo tăng cáo kéo_dài	con tôi nay tuổi cháu ít ốm vô_tình cho xét_nghiệm máu có chỉ_số aslo tăng cao tới đơn_vị sau khi bác sỹ kê cho thuốc penixilin ui uống ngày viên trong ngày cháu kg mặc dù cháu không ho sốt không có dấu_hiệu nhiễm_khuẩn cháu vẫn ăn và đi học bình_thường tôi đã cho cháu đi khám bệnh tại bệnh_viện tim hà_nội và được chẩn_đoán chưa có dấu_hiệu tổn_thương tim liệu con tôi có phải điều_trị dự_phòng thấp tim không tôi có hỏi một số bác sỹ thì có bs bảo dừng thuuocs phòng có bs bảo không tôi mong được trung_tâm tư_vấn xin trân_trọng cảm_ơn 
thuốc	e chào bác_sĩ e muốn hỏi e đang sử_dụng thuốc betaloc mg của china do bị tăng huyết_áp trc e có sử_dụng viê thì nhịp tim và huyết_áp đều nhưng nửa tháng nay huyết_áp của e nó bi tăng uống betaloc mg vẫn bị tăng huyết_áp xin hỏi e có uống viên rưỡi đc ko 
tim đập nhanh và muốn nôn mữa	dear bác_sĩ sau mỗi lần nhậu vào buổi tối uống chai sang_sáng hôm sau là tim em đập nhanh làm nhói tim và muốn ói hễ ăn hay uống nước vào được phút là ói ra hết cứ mỗi lần ói ra là không cảm_thấy nhói tim thì khỏe trở_lại sau phút thì tim lại nhói và muốn ói tiếp đến khi nào cơ_thể mệt và ngủ thiếp đi thì sau khi tỉnh dậy_thì không bị nữa xin được bác_sĩ tư_vấn ạ 
tăng huyết_áp ở người trẻ	chào bác_sĩ em năm nay tuổi em vô_tình phát_hiện mình bị tăng huyết_áp cách đây tháng sau đó có đi khám và được làm rất nhiều xét_nghiệm cuối_cùng bác_sĩ kết_luận em bị tăng huyết_áp vô căn và cho thuốc uống trong ngày sau khi uống tuần thì huyết_áp của em luôn về dưới bố mẹ em và người_thân bảo là do căng_thẳng nhất_thời nên huyết_áp mới lên như vậy nên cho dừng thuốc sau đó huyết_áp của em khá ổn_định nhưng hôm trước đi khám tại bệnh_viện thì người ta đo được huyết_áp lên tới và kết_luận đây là bệnh_lí em có đi khám thêm phòng_khám ngoài thì lúc đo huyết_áp là bác_sĩ ở phòng_khám kết_luận là rối_loạn thần_kinh giao_cảm chứ không phải tăng huyết_áp khi ở nhà em có để_ý và đo thì huyết_áp em tầm lúc hoạt_động là và những lúc như vậy ngồi nghĩ một lúc sẽ xuống em không hút thuốc và không rượu bia vậy bác_sĩ cho em hỏi em có mắc chứng tăng huyết_áp mạn_tính không sắp tới em có sang canada sinh_sống ở đấy môi_trường rất lạnh có ảnh_hưởng gì không xin cảm_ơn bác_sĩ ạ 
cam_thay nghen o long_nguc	khoảng ngày_nay em có triệu_chứng nghẹn ở lòng ngực nhất là sau các buổi ăn mỗi buổi triệu_chứng càng rỏ hơn cảm_giác như thức_ăn còn ở vùng ngực gây nghẹn và khó thở em phải ngồi thẳng người thì mới dễ thở nhưng không hẳng là dễ chỉ là đở hơn lúc nằm một xíu các thời_gian khác trong ngày thì triệu_chứng nhẹ hơn nhưng khi ợ hơi được thì thấy dễ_chịu hơn nhưng ợ hơi rất khó như có gì ngay lòng ngực cảng lại em rất mong bác_sĩ tư_vấn khám chữa bệnh cho em tìm đúng bệnh và cách chữa_trị hiệu_quả nhất vì thời_gian em đến bệnh việc ít nên giờ em cần nhờ bác_sĩ tư_vấn em xin trân thành cảm_ơn bác_sĩ và mong phản_hồi sớm em chào bác_sĩ 
